state_name,year,month,turbidity,ndci,cdom,ndwi,awei,lst_celsius,turbidity_lag1,ndci_lag1,cdom_lag1,ndwi_lag1,awei_lag1,lst_celsius_lag1,turbidity_roll3,ndci_roll3,cdom_roll3,ndwi_roll3,awei_roll3,lst_celsius_roll3,svi_score,is_monsoon,typhoid_outbreak
Andaman and Nicobar,2019,2,0.1451,0.0617,0.5721499999999999,-0.10919999999999999,-0.2219,28.045,0.1254,0.07095,0.64045,-0.02305,-0.1772,27.05,0.13524999999999998,0.066325,0.6063,-0.066125,-0.19955,27.5475,0.7512000000000001,0,0
Andaman and Nicobar,2019,3,0.14235,0.035699999999999996,0.63215,-0.1532,-0.20705,28.745,0.1451,0.0617,0.5721499999999999,-0.10919999999999999,-0.2219,28.045,0.13761666666666666,0.05611666666666666,0.6149166666666667,-0.09515,-0.20205,27.946666666666665,0.7512000000000001,0,0
Andaman and Nicobar,2019,4,0.13205,0.0167,0.6469,-0.13305,-0.3028,25.075000000000003,0.14235,0.035699999999999996,0.63215,-0.1532,-0.20705,28.745,0.13983333333333334,0.038033333333333336,0.6170666666666667,-0.13181666666666667,-0.24391666666666667,27.288333333333334,0.7512000000000001,0,0
Andaman and Nicobar,2019,5,0.0674,0.0539,0.53935,-0.009900000000000003,-0.18255,26.695,0.13205,0.0167,0.6469,-0.13305,-0.3028,25.075000000000003,0.11393333333333334,0.03543333333333333,0.6061333333333334,-0.09871666666666666,-0.2308,26.83833333333333,0.7512000000000001,0,0
Andaman and Nicobar,2019,6,0.1075,0.10919999999999999,0.56,0.005949999999999997,-0.009899999999999999,26.665,0.0674,0.0539,0.53935,-0.009900000000000003,-0.18255,26.695,0.10231666666666667,0.059933333333333325,0.5820833333333333,-0.04566666666666666,-0.16508333333333333,26.145000000000003,0.7512000000000001,1,0
Andaman and Nicobar,2019,7,0.10735,0.0649,0.5518000000000001,0.03235,-0.1528,28.555,0.1075,0.10919999999999999,0.56,0.005949999999999997,-0.009899999999999999,26.665,0.09408333333333332,0.076,0.5503833333333333,0.009466666666666658,-0.11508333333333334,27.305,0.7512000000000001,1,0
Andaman and Nicobar,2019,8,0.14225,0.0702,0.51535,-0.028900000000000002,-0.18645,30.57,0.10735,0.0649,0.5518000000000001,0.03235,-0.1528,28.555,0.11903333333333332,0.08143333333333333,0.5423833333333333,0.003133333333333335,-0.11638333333333334,28.596666666666664,0.7512000000000001,1,0
Andaman and Nicobar,2019,9,0.15660000000000002,0.055249999999999994,0.73765,-0.0854,-0.22055000000000002,32.035,0.14225,0.0702,0.51535,-0.028900000000000002,-0.18645,30.57,0.1354,0.06345,0.6016000000000001,-0.027316666666666666,-0.18660000000000002,30.386666666666667,0.7512000000000001,1,0
Andaman and Nicobar,2019,10,0.13405,0.0527,0.6534,-0.1077,-0.1245,29.564999999999998,0.15660000000000002,0.055249999999999994,0.73765,-0.0854,-0.22055000000000002,32.035,0.14429999999999998,0.05938333333333333,0.6354666666666667,-0.074,-0.1771666666666667,30.723333333333336,0.7512000000000001,0,0
Andaman and Nicobar,2019,11,0.1395,0.07355,0.49834999999999996,-0.10900000000000001,-0.1271,32.09,0.13405,0.0527,0.6534,-0.1077,-0.1245,29.564999999999998,0.14338333333333333,0.0605,0.6298,-0.10070000000000001,-0.15738333333333335,31.229999999999997,0.7512000000000001,0,0
Andaman and Nicobar,2019,12,0.0741,0.07535,0.7065,-0.19615,-0.2411,27.244999999999997,0.1395,0.07355,0.49834999999999996,-0.10900000000000001,-0.1271,32.09,0.11588333333333334,0.0672,0.6194166666666667,-0.13761666666666666,-0.16423333333333334,29.633333333333333,0.7512000000000001,0,0
Andaman and Nicobar,2020,1,0.09234999999999999,0.0842,0.5162,-0.06415,-0.1142,25.48,0.0741,0.07535,0.7065,-0.19615,-0.2411,27.244999999999997,0.10198333333333334,0.07769999999999999,0.5736833333333333,-0.12310000000000001,-0.16080000000000003,28.27166666666667,0.7512000000000001,0,0
Andaman and Nicobar,2020,2,0.0597,0.019350000000000003,0.6123,-0.087,-0.22945000000000002,27.09,0.09234999999999999,0.0842,0.5162,-0.06415,-0.1142,25.48,0.07538333333333333,0.05963333333333333,0.6116666666666666,-0.11576666666666667,-0.19491666666666668,26.604999999999997,0.7512000000000001,0,0
Andaman and Nicobar,2020,3,0.0472,0.0525,0.69615,-0.12445,-0.2522,27.18,0.0597,0.019350000000000003,0.6123,-0.087,-0.22945000000000002,27.09,0.06641666666666665,0.05201666666666667,0.6082166666666666,-0.09186666666666667,-0.19861666666666666,26.583333333333336,0.7512000000000001,0,0
Andaman and Nicobar,2020,4,0.10089999999999999,0.0789,0.4734,-0.09295,-0.24609999999999999,24.615000000000002,0.0472,0.0525,0.69615,-0.12445,-0.2522,27.18,0.06926666666666667,0.05025,0.59395,-0.10146666666666666,-0.24258333333333335,26.295,0.7512000000000001,0,0
Andaman and Nicobar,2020,5,0.1047,0.038349999999999995,0.5589,-0.1573,-0.17250000000000001,27.424999999999997,0.10089999999999999,0.0789,0.4734,-0.09295,-0.24609999999999999,24.615000000000002,0.08426666666666667,0.05658333333333333,0.57615,-0.12490000000000001,-0.22360000000000002,26.406666666666666,0.7512000000000001,0,0
Andaman and Nicobar,2020,6,0.11895,0.06515,0.6395,-0.0177,0.015000000000000003,30.595,0.1047,0.038349999999999995,0.5589,-0.1573,-0.17250000000000001,27.424999999999997,0.10818333333333333,0.0608,0.5572666666666667,-0.08931666666666667,-0.13453333333333334,27.545,0.7512000000000001,1,0
Andaman and Nicobar,2020,7,0.1382,0.06425,0.49545,-0.11815,-0.18275,34.945,0.11895,0.06515,0.6395,-0.0177,0.015000000000000003,30.595,0.12061666666666668,0.055916666666666656,0.5646166666666668,-0.09771666666666666,-0.11341666666666667,30.988333333333333,0.7512000000000001,1,1
Andaman and Nicobar,2020,8,0.18130000000000002,0.07475000000000001,0.70065,-0.0593,0.1011,32.010000000000005,0.1382,0.06425,0.49545,-0.11815,-0.18275,34.945,0.14615,0.06805,0.6118666666666668,-0.06505000000000001,-0.022216666666666673,32.516666666666666,0.7512000000000001,1,1
Andaman and Nicobar,2020,9,0.1616,0.046,0.6446999999999999,-0.07289999999999999,-0.11845,30.35,0.18130000000000002,0.07475000000000001,0.70065,-0.0593,0.1011,32.010000000000005,0.16036666666666666,0.06166666666666666,0.6136,-0.08345,-0.06670000000000001,32.435,0.7512000000000001,1,0
Andaman and Nicobar,2020,10,0.0591,0.025300000000000003,0.734,-0.0849,-0.27795000000000003,30.325,0.1616,0.046,0.6446999999999999,-0.07289999999999999,-0.11845,30.35,0.13399999999999998,0.04868333333333333,0.6931166666666668,-0.07236666666666666,-0.09843333333333334,30.895000000000003,0.7512000000000001,0,0
Andaman and Nicobar,2020,11,0.0754,0.044199999999999996,0.6453,-0.01645,-0.29100000000000004,27.23,0.0591,0.025300000000000003,0.734,-0.0849,-0.27795000000000003,30.325,0.0987,0.038500000000000006,0.6746666666666667,-0.05808333333333333,-0.22913333333333336,29.30166666666667,0.7512000000000001,0,0
Andaman and Nicobar,2020,12,0.09845,0.0108,0.6865,0.0287,-0.3503,29.12,0.0754,0.044199999999999996,0.6453,-0.01645,-0.29100000000000004,27.23,0.07765,0.026766666666666668,0.6886000000000001,-0.024216666666666668,-0.30641666666666667,28.89166666666667,0.7512000000000001,0,0
Andaman and Nicobar,2021,1,0.09025,0.05445,0.4628,-0.18735000000000002,-0.17145,27.200000000000003,0.09845,0.0108,0.6865,0.0287,-0.3503,29.12,0.08803333333333334,0.036483333333333326,0.5982,-0.058366666666666664,-0.2709166666666667,27.85,0.7512000000000001,0,0
